,新斯浦物流中心,生活服务,物流速递,物流速递.1,广东省,广州市,花都区,113.238132,23.41208
533,中国邮政农村邮政综合服务站,生活服务,邮局,邮局,广东省,广州市,从化区,113.472726,23.656326
534,信快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.472717,23.656226
535,民乐快递公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.475653,23.656514
536,智慧社区服务厅,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.472699,23.656226
537,中国电信从化民乐墟社区店,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.47279,23.656209
538,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,从化区,113.470397,23.656908
539,农村邮政综合服务站(民乐京东),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.472933,23.657338
540,京东快递店,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.473032,23.657435
541,运通快递,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.473327,23.096237
542,菜鸟驿站(美宜佳G046黄埔黄岗大道店),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.482107,23.095554
543,广州市港运物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.473196,23.096308
544,深蓝国际物流,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.482611,23.097644
545,菜鸟驿站(美宜佳G046黄埔黄岗大道店),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.48214,23.09548
546,港泰物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,112.961215,23.433665
547,军顺物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,112.96196,23.435393
548,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,黄埔区,113.496292,23.0836
549,广州丽丰物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.486011,23.103588
550,广州市骏驿物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.486029,23.103504
551,广州交通物流集团南仓明兴仓库,生活服务,物流速递,物流仓储场地,广东省,广州市,黄埔区,113.485983,23.09402
552,广州市新铭航物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.467784,23.099683
553,中国联通(黄埔营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,黄埔区,113.454406,23.106402
554,辰昉物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.491726,23.083902
555,菜鸟驿站(广州黄埔文元禾坑尾23号店),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.47046,23.10204
556,中国移动(惠润广场服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,黄埔区,113.456459,23.100769
557,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.471462,23.10706
558,广州惠胜物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.463539,23.1001
559,广州市津粤钢铁物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.485649,23.104695
560,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.094236,23.411754
561,韵达,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.093904,23.411635
562,中通速递(花都赤坭分公司),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.094195,23.412419
563,广州预年物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.094372,23.412798
564,天天快递(赤坭分部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.094428,23.412969
565,菜鸟驿站(广东培正学院体育馆店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.09268,23.41167
566,广州火火通快递有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.094225,23.412351
567,申通快递,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.094401,23.412886
568,广州旭东物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.09966,23.401275
569,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.081414,23.386288
570,中国电信(赤坭营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.078338,23.386526
571,御发物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.080957,23.387176
572,中国移动(赤坭富豪指定专营店),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.081875,23.384973
573,天天快递驿站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.081828,23.384403
574,炭步邮政代办所,生活服务,邮局,邮局,广东省,广州市,花都区,113.105852,23.334701
575,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.105884,23.33779
576,和共物流炭步营业部,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.10447,23.329124
577,盛丰物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.104663,23.329087
578,菜鸟驿站(广州炭步公园仔店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.105093,23.334994
579,安能物流(花都炭步镇店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.109157,23.332732
580,龙兴物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.110036,23.336907
581,百世快递(炭步分部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.107627,23.332802
582,德邦快递,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.108014,23.333006
583,德邦快递(炭步营业部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.105929,23.319886
584,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.106667,23.33498
585,韵达炭步分部,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.108881,23.332484
586,壹米滴答,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.110117,23.33614
587,友邦合纵,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.109823,23.334972
588,风神物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.109996,23.335538
589,京东炭步站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.110316,23.337592
590,韵达快运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.177323,23.456794
591,狮岭邮政支局(装修中),生活服务,邮局,邮局,广东省,广州市,花都区,113.153918,23.460978
592,兰田货运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.173741,23.480241
593,坤忠邮政代办所,生活服务,邮局,邮局,广东省,广州市,花都区,113.177153,23.474018
594,壹米滴答·快运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.154289,23.473614
595,南埔1号码头万福物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.164511,23.34066
596,华正道物流(花港大道),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.144399,23.351664
597,德顺物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.145464,23.348517
598,至尚物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.146407,23.350004
599,广州松松电商快递物流园,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.143592,23.31892
600,广州市德之顺物流有限公司,生活服务,物流速递,物流仓储场地,广东省,广州市,花都区,113.145114,23.348495
601,伟杰物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.148157,23.351579
602,韵达快递(神山公司郭塘服务部),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.1821,23.332499
603,中国联通,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.185591,23.333034
604,广州鑫扬物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.144295,23.351951
605,优速快递(神山分公司),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.184217,23.331362
606,极兔速递代理点,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.150439,23.355617
607,马溪韵达菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.148156,23.355331
608,韵达速递,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.148032,23.35537
609,韵达云仓,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.149307,23.356323
610,申通快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.185625,23.334031
611,圆通快递公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.147644,23.356012
612,风神物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.151057,23.357199
613,中通快递广州钟落潭神山分部,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.184337,23.332341
614,中国联通(鸿曦通讯专营店),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.194544,23.332641
615,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.153621,23.358169
616,远成快运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.159502,23.409084
617,天地华宇,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.159502,23.409068
618,韵达快运(广州花都韵华快运公司),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.159377,23.409189
619,中国电信(大布村营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.163583,23.408818
620,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.163846,23.406988
621,米安通物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.164628,23.409131
622,中国联通智慧生活馆,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,花都区,113.168061,23.415255
623,圆通菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.163286,23.405922
624,中国电信大布村营业厅,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.168231,23.418711
625,沟通100营业厅,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,花都区,113.163286,23.405922
626,韵达快递(新华工业区分部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.166242,23.419581
627,龙兴物流(红棉大道),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.167995,23.419284
628,德邦物流(红棉大道北),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.172241,23.392933
629,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.163755,23.406864
630,广州壮大物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.167433,23.420928
631,龙邦物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.161237,23.398723
632,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.162722,23.396544
633,中国联通,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,花都区,113.162621,23.398468
634,中通(聚龙庄分部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.162297,23.397656
635,中国移动(石滩营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.792611,23.172426
636,石滩邮政花市自提点,生活服务,邮局,邮局,广东省,广州市,增城区,113.795331,23.172392
637,韵达速递(广东广州增城市石滩公司立新路便民寄存分部),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.795483,23.171081
638,优速快递(增城一部石滩分部),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.79337,23.174569
639,中国移动家庭宽带报装点,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,增城区,113.792669,23.173906
640,大把菜电子商务有限公司,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.792885,23.173736
641,军诚物流,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.792613,23.167943
642,菜鸟驿站(广州荔城光明村明贤一街1号店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.79434,23.25985
643,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.788664,23.258339
644,菜鸟驿站(广州荔城光明村五街四号店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.79473,23.26118
645,顺旺托运部,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.805923,23.262405
646,中通快递(广州荔城营业部),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.787292,23.256941
647,锦绣半山御景花园锦绣路38号菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.788452,23.258765
648,五一新村菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.79952,23.268539
649,中国联通(增城智慧沃家增健光明社区WO店),生活服务,电讯营业厅,电讯营业厅,广东省,广州市,增城区,113.787455,23.258292
650,菜鸟驿站(广州增城五一村六街6号店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.79784,23.26875
651,鼎湖山泉荔城配送中心,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.814682,23.266765
652,中国邮政(增城区邮政局),生活服务,邮局,邮局,广东省,广州市,增城区,113.786697,23.28592
653,菜鸟驿站(广州增城太平村同星六街14号店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.78014,23.2507
654,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.774386,23.254974
655,中国联通智慧生活馆自营店,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,增城区,113.827657,23.284335
656,众磊鑫物流,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.798716,23.27688
657,菜鸟驿站(广州华商学院),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.773949,23.255049
658,洪彬增鑫物流,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.799078,23.276822
659,信丰物流,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.785895,23.490014
660,express,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.783892,23.488617
661,中国移动(派潭服营厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.780508,23.487134
662,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.780053,23.485237
663,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.777891,23.48941
664,京广速递,生活服务,物流速递,物流仓储场地,广东省,广州市,增城区,113.7866,23.490451
665,派潭邮政花市自提点,生活服务,邮局,邮局,广东省,广州市,增城区,113.781454,23.487979
666,韵达快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.776237,23.487154
667,优速快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.777987,23.485894
668,百世快递派潭站,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.778023,23.485906
669,韵达速递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.775335,23.56315
670,顺丰速运(增城敏骏服务部),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.779684,23.480599
671,联通光纤宽带报装,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,增城区,113.823725,23.332484
672,中国邮政综合服务站,生活服务,邮局,邮局,广东省,广州市,增城区,113.821163,23.300721
673,菜园中邮政支局,生活服务,邮局,邮局,广东省,广州市,增城区,113.826722,23.30171
674,中国邮政(御景路邮政代办所),生活服务,邮局,邮局,广东省,广州市,增城区,113.817901,23.302719
675,申通快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.818968,23.303165
676,中国移动社区服务站,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.825009,23.306077
677,安能物流,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.833159,23.326929
678,中国邮政(荔城投递站),生活服务,邮局,邮政速递,广东省,广州市,增城区,113.830313,23.299684
679,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.810994,23.297747
680,菜鸟驿站(花地人家店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.798208,23.298656
681,港中能达快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.826058,23.306026
682,中国移动4G,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.826495,23.300685
683,广州市增城腊布邮政代办所,生活服务,邮局,邮局,广东省,广州市,增城区,113.793027,23.41668
684,中国邮政,生活服务,邮局,邮局,广东省,广州市,增城区,113.791506,23.415423
685,顺丰快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.793078,23.416805
686,百世快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.792096,23.415793
687,京东物流(广州腊圃营业部),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.791899,23.415442
688,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.788575,23.419596
689,中国邮政速递物流(高丰路),生活服务,邮局,邮政速递,广东省,广州市,增城区,113.787786,23.421136
690,小楼投递站,生活服务,邮局,邮局,广东省,广州市,增城区,113.834185,23.382153
691,小楼邮政支局,生活服务,邮局,邮局,广东省,广州市,增城区,113.834195,23.382015
692,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,增城区,113.892626,23.414972
693,中国电信授权宽带报装点,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,增城区,113.892769,23.412905
694,正果邮政花市自提点,生活服务,邮局,邮局,广东省,广州市,增城区,113.894722,23.415683
695,中国电信(正果营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,增城区,113.894762,23.415797
696,德邦物流(荔城大道),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.82239,23.294537
697,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.827581,23.295449
698,蜂巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.826023,23.306903
699,邮政快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.864388,23.242781
700,中都物流,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.863561,23.237764
701,菜鸟驿站(华立学院商业街),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.86484,23.23961
702,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.860014,23.241361
703,中国邮政(东湖邮政支局),生活服务,邮局,邮局,广东省,广州市,增城区,113.844842,23.284891
704,菜鸟驿站(华立旁乐活小镇3栋107),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.86675,23.23735
705,菜鸟驿站(华立科技学院专科站),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.86233,23.24103
706,惠盟运输,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.870955,23.274496
707,中国邮政,生活服务,邮局,邮局,广东省,广州市,增城区,113.855616,23.273532
708,菜鸟驿站广东工业大学华立学院服务点,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.862398,23.240555
709,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.86662,23.237457
710,菜鸟驿站(广州增江乐活小镇3栋107号店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.86638,23.23696
711,韵达快运,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.847,23.253496
712,菜鸟驿站(广州增江四丰村广汕路65号店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.8728,23.229671
713,百世快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.846071,23.254163
714,龙兴物流(增城增江分公司),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.872388,23.230021
715,优速快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.854874,23.279063
716,中国电信(智慧社区服务厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,增城区,113.846657,23.275249
717,增城县邮电局,生活服务,邮局,邮局,广东省,广州市,增城区,113.843868,23.297294
718,1978创意园邮政代办所,生活服务,邮局,邮局,广东省,广州市,增城区,113.843115,23.29764
719,极兔速递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.848651,23.305515
720,优速快递(增江优速店),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.845285,23.293167
721,三江桥头村农村邮政服务站,生活服务,邮局,邮局,广东省,广州市,增城区,113.867136,23.18798
722,中国移动手机工厂店,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.860613,23.184823
723,中通快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.858433,23.186267
724,中国移动营业厅,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.855268,23.186063
725,百世快运,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.857842,23.186384
726,申通快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.85708,23.186405
727,中国联通知己电讯公用电话专营店,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,增城区,113.858658,23.186041
728,中国移动宽带授权点,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.851951,23.185765
729,中国电信(三江营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,增城区,113.852508,23.185025
730,中国移动知已电讯特约代理点,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.858982,23.185113
731,信丰物流(三江分公司),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.850577,23.185948
732,圆通快递(三江分部),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.855915,23.190606
733,中国移动鸿程通讯,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,增城区,113.855105,23.186795
734,优速快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.85091,23.185606
735,兔喜快递超市三江富街综合服务中心,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.857133,23.186451
736,德邦快递,生活服务,物流速递,物流速递,广东省,广州市,增城区,113.857269,23.193777
737,速腾快递(增城分公司),生活服务,物流速递,物流速递,广东省,广州市,增城区,113.850564,23.185939
738,三江邮政支局,生活服务,邮局,邮局,广东省,广州市,增城区,113.840548,23.182433
739,三江邮政花市自提点,生活服务,邮局,邮局,广东省,广州市,增城区,113.852679,23.18503
740,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.873229,23.890489
741,天地华宇,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.953021,23.811022
742,联昊通快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.952657,23.812615
743,顺丰快递(吕田服务点),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.952931,23.81161
744,中国电信(吕田合作厅店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,从化区,113.950411,23.808983
745,从化区邮政局吕田邮政代办所,生活服务,邮局,邮局,广东省,广州市,从化区,113.950365,23.80897
746,从化专线广成物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.552947,23.564464
747,毅昌物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.552719,23.564566
748,韵达物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.550975,23.565485
749,中国移动从化分公司(装修中),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.585623,23.538063
750,鑫兴鹏物流从化营业部,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.549188,23.565212
751,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.556472,23.563308
752,从化广城货运,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.552866,23.564399
753,联昊通速递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.566063,23.562629
754,四通物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.555254,23.563886
755,广州市贵通运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.554583,23.564465
756,从化百世供应链,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.574621,23.576645
757,中国联通,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,从化区,113.545604,23.560427
758,广州城市之星运输有限公司从化分公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.566009,23.562473
759,安一物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.575145,23.579049
760,光伏驿站,生活服务,邮局,邮政速递,广东省,广州市,从化区,113.572853,23.557284
761,奔跑物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.542852,23.563931
762,从化松正物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.568369,23.558098
763,众邮快递(广州从化公司),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.542939,23.563943
764,百世快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.574268,23.583373
765,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,从化区,113.573906,23.558518
766,中国移动宽带报装点,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.560263,23.634188
767,农村邮政综合服务站,生活服务,邮局,邮局,广东省,广州市,从化区,113.552388,23.61485
768,中通快运,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.579936,23.567065
769,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.570891,23.555508
770,保邦物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.542689,23.563911
771,菜鸟联盟,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.572936,23.553858
772,长城宽带(上横南路店),生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.572963,23.555249
773,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.575649,23.555197
774,广州市凯耀货物运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.572382,23.590128
775,广州市安泰运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.542471,23.563883
776,中国移动(沟通100营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.579831,23.554503
777,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,从化区,113.573762,23.436288
778,飞鹅快递物流运营中心,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.526485,23.418353
779,南方传媒发行物流有限公司(从化发行站),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.574722,23.55863
780,鑫兴鹏物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.531001,23.567988
781,广东申通物流有限公司从化旺城分部,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.575404,23.556761
782,韵达,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.577075,23.557188
783,中国移动(鹏业通讯特约代理点),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.582742,23.55273
784,中通快运,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.562546,23.502816
785,百世快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.546392,23.493421
786,生鲜农产品加工物流配送中心,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.564271,23.502615
787,菜鸟驿站(广州从化碧桂园荔山雅筑店),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.56622,23.50346
788,菜鸟驿站(广州通用职业技术学校),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.54618,23.49454
789,菜鸟驿站(广州从化逸泉山庄店),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.55889,23.50477
790,中国电信(从化神岗营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,从化区,113.533788,23.489851
791,从化区邮政局神岗邮政代办所,生活服务,邮局,邮局,广东省,广州市,从化区,113.533183,23.489485
792,中通快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.569491,23.516263
793,菜鸟驿站(广州从化神岗巴厘天地门店),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.53562,23.49248
794,菜鸟驿站(广州从化雅居乐小院流溪店),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.568398,23.512047
795,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.577693,23.512404
796,中国电信(广信镇龙营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,黄埔区,113.56804,23.278814
797,日新物流零部件组装永龙点,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.574113,23.261855
798,中国移动(松丰特约代理店),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,黄埔区,113.574112,23.276966
799,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.572876,23.275242
800,联亿发配送中心,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.5777,23.275893
801,德邦快递(九龙镇营业部),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.571381,23.278075
802,广州市真耀货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.5713,23.278061
