,鲜一鲜农庄,餐饮服务,中餐厅,中餐厅.1,广东省,广州市,花都区,113.238339,23.412032
1799,小吃部落,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.792045,23.418919
1800,安记美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.890854,23.41636
1801,超记香滑云吞,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.89198,23.415956
1802,业乐餐吧,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.89327,23.413556
1803,保记传统云吞,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892162,23.416593
1804,鲲记云吞,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892211,23.416613
1805,正果七彩云吞,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892585,23.416763
1806,云之濑,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892205,23.41661
1807,悦顺农家乐餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891657,23.40866
1808,南园饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891531,23.40821
1809,翠溪园餐馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.893934,23.415301
1810,正贤轩酒楼,餐饮服务,中餐厅,综合酒楼,广东省,广州市,增城区,113.8947,23.415254
1811,兰溪佬早餐店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891818,23.409493
1812,金姨虾堆,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.893448,23.41724
1813,湾湾餐馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.89234,23.414301
1814,云香第一家,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.890876,23.416422
1815,旺族派潭盖仔粉(正果上晒路店),餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892887,23.413268
1816,蕃丰美食手打云吞,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.894178,23.418204
1817,九峰山农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.899231,23.424596
1818,新城酒楼,餐饮服务,中餐厅,综合酒楼,广东省,广州市,增城区,113.893585,23.413568
1819,信香饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.894023,23.414998
1820,正果老字号云吞(正果店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.894203,23.418129
1821,竹盖肠粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892208,23.416612
1822,来多份餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891751,23.409263
1823,烤一烤,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892324,23.410933
1824,孖女快餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.891715,23.408997
1825,远森餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891843,23.409587
1826,广宜,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.8921,23.410307
1827,福俊早餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892543,23.41231
1828,红园美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891745,23.409057
1829,正果番丰人家品乡味农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.889947,23.420688
1830,芳记饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892445,23.415158
1831,正果停车区惠食客风味小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.903669,23.458879
1832,大岭上游饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.855128,23.455733
1833,华莱士,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.893222,23.413424
1834,同心饭馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891688,23.410229
1835,街口友,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.89272,23.413163
1836,旗兴餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.89294,23.415499
1837,适合小食店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891812,23.409487
1838,丰竹烧腊饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891835,23.409629
1839,正果烤吧,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.891868,23.409336
1840,正果蓝记云吞,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.891955,23.41628
1841,泳权云吞,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892244,23.414941
1842,特色云吞,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892663,23.412305
1843,传统生榨粉,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892744,23.412951
1844,碌碗云吞,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892818,23.412923
1845,源一餐厅,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.895067,23.414972
1846,老北京炸酱面,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.893208,23.413384
1847,兰姨快餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.891564,23.408336
1848,镜仔早餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892373,23.415106
1849,光头大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892554,23.412331
1850,福饺早餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.89261,23.412204
1851,群愉小吃店,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.894491,23.414165
1852,喜快港式茶餐厅,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.894018,23.414444
1853,回味美食农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892265,23.421629
1854,友家面馆,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892843,23.412803
1855,川粤面馆,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.892803,23.41279
1856,阿婆虾堆蛋散,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.892811,23.412904
1857,喜福楼河鲜,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.895562,23.417403
1858,正果云吞梅州盐焗食品,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.893567,23.413549
1859,雅港园酒楼,餐饮服务,中餐厅,综合酒楼,广东省,广州市,增城区,113.895091,23.416512
1860,房哥土鸡饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.908972,23.394775
1861,王富来腊味,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.895486,23.417344
1862,均记烧腊店,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.894114,23.413639
1863,猪杂粥粉面,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.894128,23.415228
1864,光头佬饺子店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.89446,23.414149
1865,王仔早餐店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.888643,23.400977
1866,金聚来腊味,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.89483,23.415894
1867,水围腊味煲仔饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.894873,23.416675
1868,枫木林饭庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.887126,23.399556
1869,张姐烤肉饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.86393,23.244679
1870,氧森农庄,餐饮服务,中餐厅,综合酒楼,广东省,广州市,增城区,113.87381,23.240695
1871,重庆纸上烤鱼,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,增城区,113.866104,23.237094
1872,重庆食府(华立店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.862128,23.241824
1873,东南亚扒饭(专科食堂店),餐饮服务,外国餐厅,外国餐厅,广东省,广州市,增城区,113.864647,23.24366
1874,兴隆饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.872929,23.229485
1875,佐邻厨房制造小扒王(专科店),餐饮服务,外国餐厅,西餐厅(综合风味),广东省,广州市,增城区,113.86589,23.246546
1876,小彦蒸饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.865899,23.23762
1877,客家徐兴记美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.860218,23.244476
1878,川渝菜馆(华立店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.860408,23.244025
1879,随意点餐厅,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.86373,23.243483
1880,川外川砂锅麻辣烫(华立店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.865855,23.237346
1881,流云居鹅掌门,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.867616,23.274514
1882,御品楼食府中式名菜,餐饮服务,中餐厅,综合酒楼,广东省,广州市,增城区,113.874874,23.22759
1883,花姐烧烤,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,增城区,113.859004,23.243635
1884,重庆鸡公煲,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,增城区,113.86,23.243888
1885,东江饭店(增江大道中店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.8441,23.284057
1886,好客人家(广汕路店),餐饮服务,中餐厅,台湾菜,广东省,广州市,增城区,113.84855,23.252157
1887,增城景和农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.842135,23.226556
1888,广园饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.845495,23.284183
1889,草原羊,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.845998,23.283457
1890,强记美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.859295,23.243678
1891,众皇大包,餐饮服务,外国餐厅,韩国料理,广东省,广州市,增城区,113.863037,23.241716
1892,德叔餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.86471,23.227393
1893,十三香小龙虾,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.844426,23.284423
1894,九菜一汤食府,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.842376,23.273449
1895,汕头潮来汤粉王,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.860426,23.244447
1896,客家婆山水豆腐花,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.871312,23.330739
1897,王标农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.864524,23.329017
1898,小明同学农家乐,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,增城区,113.845084,23.344889
1899,荣记烧烤场,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.846911,23.351265
1900,文东菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.848806,23.305275
1901,莲塘春色车友农家乐,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843678,23.350704
1902,耘众山庄 特色美食,餐饮服务,中餐厅,火锅店,广东省,广州市,增城区,113.888607,23.371243
1903,云祥农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.846355,23.335696
1904,乡下仔泥焗鸡,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.862853,23.366247
1905,草原人家,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.850919,23.343649
1906,联益农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.84149,23.335027
1907,莲塘春色服务中心烧烤场,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.846285,23.352436
1908,富强农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843686,23.351151
1909,素界蔬食餐厅,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,增城区,113.843727,23.297775
1910,丽丽私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843823,23.297004
1911,增江酒家,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.84633,23.296501
1912,老客家山水豆腐,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843902,23.350758
1913,莲盛美食农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.842124,23.348225
1914,一品脆鲩农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843728,23.352038
1915,鲜味农家乐,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843795,23.352062
1916,Seven Club餐吧·酒水博物馆(增城店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843069,23.298016
1917,威远早餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.870766,23.295074
1918,情湘御厨(1978创意园店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843877,23.297376
1919,森雨小酒馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.84373,23.297705
1920,金嘴巴煲仔饭餐厅(新桥路店),餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.840393,23.297087
1921,山水饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.84593,23.298153
1922,朱村鸡饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.843769,23.296789
1923,后宫娱乐餐吧(1978店),餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.843399,23.29809
1924,The Pond餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.844632,23.300193
1925,乐渔烤鱼锡纸煲,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,增城区,113.844054,23.29699
1926,沙县小吃老北京炸酱面,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.845949,23.298262
1927,SEVEN 7 CLUB西餐,餐饮服务,外国餐厅,外国餐厅,广东省,广州市,增城区,113.843321,23.298387
1928,客家佬豆腐花,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.84625,23.299418
1929,鼎盛烧鹅(快餐·炖汤·增江店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.845894,23.297966
1930,汕头雄盛饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.845911,23.297879
1931,荟聚钓鱼场,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.872958,23.165238
1932,永兴包点(三江店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,增城区,113.860584,23.184835
1933,姚记大排档,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.858189,23.185466
1934,双聚农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.86002,23.18901
1935,老友聚味美食店,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.862491,23.184616
1936,太卷屋,餐饮服务,外国餐厅,日本料理,广东省,广州市,增城区,113.85735,23.185407
1937,云客欢乐餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.856413,23.185863
1938,福建沙县特色小吃,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,增城区,113.855017,23.185726
1939,江南牛宴,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.862183,23.19314
1940,水记火锅,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.862424,23.184414
1941,不凡餐馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.8622,23.18416
1942,新进小食店,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.86293,23.184399
1943,清记私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.863136,23.186239
1944,横县烧烤,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.858709,23.189766
1945,中濠美食(三江店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.856459,23.189133
1946,肥明私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.861799,23.183203
1947,338肠粉皇,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.861388,23.184809
1948,安心来火锅城,餐饮服务,中餐厅,火锅店,广东省,广州市,增城区,113.861412,23.184906
1949,阳光茶餐厅,餐饮服务,快餐厅,茶餐厅,广东省,广州市,增城区,113.857465,23.185607
1950,一品烧鹅茶餐厅,餐饮服务,快餐厅,茶餐厅,广东省,广州市,增城区,113.854972,23.186405
1951,粥源天记美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.853131,23.187014
1952,说说烧烤,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.853146,23.187189
1953,重庆正宗串串,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.860514,23.18499
1954,喜誉之家,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.855152,23.186066
1955,轩然茗典居,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.8568,23.185986
1956,川味烤鱼烤吧,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.860388,23.185008
1957,萨食惠9块9披萨,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.859258,23.184849
1958,四眼妹臭豆腐,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.859487,23.185379
1959,肥良大鱼烧鸡场,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.84098,23.201542
1960,新冠生酒家,餐饮服务,中餐厅,综合酒楼,广东省,广州市,增城区,113.854312,23.187946
1961,三江第一烧鸡场,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.840174,23.204534
1962,华莱士(增城三江店),餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.855079,23.186085
1963,佳梦缘早餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.858495,23.184582
1964,蒸武门·中国点心专家(三江店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.855657,23.189595
1965,早食一刻,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.858397,23.184534
1966,岭南茗点(三江第九分店),餐饮服务,快餐厅,茶餐厅,广东省,广州市,增城区,113.850659,23.187131
1967,正宗桂林米粉酸辣粉,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.857729,23.187028
1968,岭南茗点(三江第九分店),餐饮服务,快餐厅,茶餐厅,广东省,广州市,增城区,113.850659,23.187131
1969,滋味早餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.857233,23.187924
1970,文明酒楼,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.873229,23.890538
1971,利群农家餐馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.872105,23.889712
1972,翠溪湾农家菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.869107,23.725281
1973,红枫林餐馆,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,从化区,113.873217,23.726315
1974,凡辉农家菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.86705,23.71375
1975,文记农家菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.867552,23.71315
1976,溪头村金果湾食庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.865444,23.714821
1977,湾月农家美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.867677,23.712679
1978,柴烧竹筒饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.868275,23.713356
1979,从化溪头村度假住宿福星农家菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.867409,23.713833
1980,竹香楼,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.867589,23.712542
1981,鸿记竹筒饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.867425,23.712461
1982,福莱美食阁,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.867348,23.713981
1983,美景农庄,餐饮服务,中餐厅,综合酒楼,广东省,广州市,从化区,113.868352,23.711381
1984,亨溪农家食栈,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.86694,23.714303
1985,林记私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.867176,23.712874
1986,得道正果云吞,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.867249,23.714093
1987,健之乐农家菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.865794,23.714753
1988,簸箕石磨肠粉,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,从化区,113.867104,23.713174
1989,品溪阁食庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.867427,23.713681
1990,高山腊味场,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.86038,23.719622
1991,山水豆腐花,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.867464,23.713513
1992,溪源幽谷豆腐花,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.871194,23.711793
1993,三里居农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.839392,23.731283
1994,千瀧沟大瀑布豆腐花,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.850772,23.710569
1995,香蜜山餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.915349,23.765121
1996,竹山农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.839038,23.731785
1997,又一村农家美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.880664,23.69328
1998,巢志诚私房菜农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.908471,23.771358
1999,秋实农庄农家腊味,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.914666,23.772354
2000,强记饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.906823,23.770938
2001,友家农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.858379,23.707285
2002,广州市从化吕田秋实饭店,餐饮服务,中餐厅,江苏菜,广东省,广州市,从化区,113.908852,23.770935
2003,吕田服务区小圆满自助餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.895852,23.819354
2004,吕田服务区驿路香伴休闲小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.89621,23.819382
2005,鲜绿农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.908672,23.803722
2006,龙港酒楼,餐饮服务,中餐厅,综合酒楼,广东省,广州市,从化区,113.952903,23.771378
2007,香镇庄园餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.928599,23.769676
2008,益友生态农庄,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,从化区,113.935001,23.771232
2009,新记农家菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.879431,23.692282
2010,观星阁食店,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.880979,23.692596
2011,社会主义新农村,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.945414,23.476553
2012,增城正果乡村私房菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.923662,23.458629
2013,增城区正果镇黄屋村长者饭堂,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.933669,23.472244
2014,丰依竹食(兰溪店),餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.961829,23.36121
2015,山瑶餐馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.98824,23.341843
2016,凉粉豆腐花,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.98931,23.339717
2017,辉记农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.948496,23.367732
2018,山水豆腐花,餐饮服务,快餐厅,快餐厅,广东省,广州市,增城区,113.95309,23.364261
2019,荔缘农家菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,增城区,113.932728,23.374921
2020,国吕美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.954445,23.812691
2021,田园农家美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.954404,23.810947
2022,聚福楼大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.952977,23.812149
2023,新聚贤楼酒楼,餐饮服务,中餐厅,综合酒楼,广东省,广州市,从化区,113.953893,23.812761
2024,广平饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.952682,23.811538
2025,乐晖趣香园(吕田店),餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.950825,23.809394
2026,新活生生酒楼,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.950791,23.809351
2027,老街坊酒楼,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.950722,23.810993
2028,王品餐厅火锅店,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,从化区,113.952823,23.811667
2029,湘粤缘侗家泡菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.952625,23.811485
2030,吕田生生活餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.949942,23.809129
2031,丽云快餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.951414,23.811653
2032,小余早餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.9513,23.810527
2033,聚福楼新菜馆(味上美美食店),餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.951692,23.810696
2034,裕意苑,餐饮服务,快餐厅,茶餐厅,广东省,广州市,从化区,113.948534,23.807113
2035,大君美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.950697,23.809253
2036,好生活餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.950178,23.809146
2037,粉有道,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.95257,23.811458
2038,莫家私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.950087,23.813225
2039,柳州金牌手撕鸡,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.950931,23.809547
2040,笑满美食,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.948952,23.807674
2041,金手勺农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.96897,23.806925
2042,兄弟鱼档,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.949101,23.806893
2043,从化吕田韵之味农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.985714,23.807782
2044,高山腊味好源头美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.934544,23.780418
2045,达吕味农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.946395,23.816297
2046,国芳顺鱼档,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.948995,23.807811
2047,翻滚吧肉丸,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.949093,23.807505
2048,九曲水农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.958767,23.773063
2049,沙和早餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.948895,23.806821
2050,云浮河口肠粉,餐饮服务,快餐厅,快餐厅,广东省,广州市,从化区,113.939945,23.821612
2051,森哥私房菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.934082,23.809494
2052,缘来驿站,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,113.922477,23.774995
2053,石坝美食,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,从化区,113.986603,23.793713
2054,连麻小镇花姑私房菜,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,从化区,114.013515,23.902897
2055,津珍饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,114.011565,23.876233
2056,埔乡源饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,从化区,114.007807,23.885387
