,美佳乐百货超市,购物服务,便民商店/便利店,便民商店/便利店.1,广东省,广州市,花都区,113.239068,23.411943
503,志高商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.862231,23.185424
504,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.85906,23.185098
505,熹微镔商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.858432,23.184516
506,杂货门市部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.873004,23.890226
507,红叶小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.869475,23.725481
508,东荣商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.867455,23.713581
509,溪石便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.867507,23.712907
510,溪头便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.867456,23.713581
511,森记杂货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.867689,23.71275
512,镇和商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.907344,23.770627
513,吕田服务区中驿便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.895256,23.81744
514,吕田服务区便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.894605,23.81873
515,芝琳商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.9757,23.355701
516,3+3百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.953059,23.364197
517,3 3百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.953022,23.364362
518,益吕商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.954489,23.811938
519,利文商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.9521,23.811109
520,雅丽士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.952017,23.812044
521,美宜佳(粤18282),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.952137,23.810896
522,红连商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951954,23.810633
523,高照商铺,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951848,23.810592
524,明星百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951379,23.81044
525,京东便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.952183,23.809766
526,忠兴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.952166,23.810971
527,永亨超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951108,23.809733
528,志如商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951383,23.810341
529,安德成,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.950944,23.810499
530,伟锦购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.950138,23.808864
531,三和综合购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951104,23.809718
532,吕兴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951101,23.809675
533,利亨超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.951667,23.811025
534,爱珍商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.936096,23.809336
535,泽忠士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.935272,23.809062
536,源丰收商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.988566,23.809191
537,小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.9331,23.777009
538,康乐小货栈,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,114.005674,23.891025
539,福源商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.550917,23.568149
540,万丰连锁超市(新荷店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.551228,23.56611
541,新宏商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.551585,23.565996
542,万丰超市(美都化妆品厂),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.571763,23.589752
543,良鸿商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.553641,23.564687
544,陆陆通百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.558333,23.583134
545,越和商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.55468,23.564057
546,根兴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.553686,23.56407
547,邦塘商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.553383,23.563807
548,辉亮商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.541821,23.625971
549,花欣商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.541539,23.625933
550,能恩士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.552584,23.615251
551,波记士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.574525,23.617552
552,梁勇商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.584261,23.618757
553,城郊黄场新一家商店(文仔店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.552833,23.613748
554,丰行商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.520658,23.616586
555,富旺商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.545549,23.567783
556,万士和商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.56749,23.563701
557,便民商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.544137,23.572747
558,高田村农村淘宝服务站,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.545905,23.413195
559,太平嘉兵商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.570927,23.399949
560,马记小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.54168,23.428891
561,芬芬商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.543553,23.431655
562,沙溪惠民超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.526575,23.418362
563,新生商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.579382,23.436895
564,飞鹅供销社,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.526235,23.417902
565,日鸿百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.526413,23.418319
566,红诚商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.580818,23.436517
567,洲仔商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.554409,23.499768
568,健龙商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.554034,23.500151
569,初醒商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.55801,23.501373
570,万佳华超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.545278,23.493893
571,嘉雯便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.565655,23.502913
572,天猫小店(荔山超市),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.565657,23.502914
573,环亚工业园丰华商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.545801,23.49163
574,美宜佳(京珠线店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.566156,23.503209
575,琳琳家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.545038,23.490453
576,健林商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.552162,23.262121
577,小埔文仔商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.573325,23.252881
578,广州市黄埔区淦添日用商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.572913,23.253118
579,鸿伟商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.557414,23.26879
580,敏睿日用商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.558357,23.270867
581,真辉便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.5711,23.277631
582,鑫任百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.560861,23.275208
583,珍友日用商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.574355,23.270829
584,我的便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.552306,23.3301
585,全优便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.550486,23.331885
586,青香便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.550656,23.330644
587,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.552649,23.326557
588,幸福便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.552737,23.326458
589,力马日用百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.552556,23.339438
590,富丽百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.458529,22.851052
591,易捷便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.500874,22.846888
592,嘉乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.486454,22.861387
593,贵丰杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.486679,22.86152
594,奋发商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.48836,22.860705
595,壹号21小时便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.484728,22.864319
596,实惠便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.488358,22.861985
597,健乐多食品店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.488203,22.862142
598,高良杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.488066,22.862278
599,良品小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.485333,22.864265
600,百越商场(庆盛农家店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.487961,22.861328
601,士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.462786,22.851437
602,乐兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.469301,22.927424
603,锋行便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.471846,22.932339
604,芙蓉兴盛,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.485174,22.938283
605,好邻居,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.485311,22.93793
606,天福便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.475337,22.940032
607,美宜佳(海傍地铁口B755店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.475669,22.940384
608,居佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.475239,22.941015
609,家家兴超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.485915,22.77153
610,通用零售批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.468759,22.781004
611,庙南九记批发,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.495313,22.774238
612,雄兴批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.49551,22.77288
613,顺来兴五金百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.495756,22.772714
614,永兴便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.493503,22.755665
615,乐宜百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.494252,22.755562
616,随缘便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.494693,22.755524
617,7号便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.502714,22.766302
618,南二村士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.453315,22.765916
619,新新百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.453215,22.765693
620,勇祖百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.498147,22.756273
621,开心优品便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.499476,22.75652
622,利亨超市(温泉店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.653657,23.643781
623,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.654222,23.644263
624,碧幸商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.656061,23.645856
625,温泉浪记超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.65578,23.645322
626,清利商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.654218,23.645055
627,芙蓉兴盛,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.655818,23.646002
628,辉记士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.65551,23.645319
629,温泉荔园商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.656746,23.648056
630,新隆综合店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.655772,23.644434
631,居永商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.65454,23.643991
632,林梅商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.663969,23.710033
633,桂桃商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.64292,23.694774
634,昌兴农产品商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.65808,23.641225
635,宏兴购销部(温泉东路西二巷),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.658228,23.641321
636,婵盛商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.637634,23.619495
637,晶清便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.629075,23.621221
638,生之源商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.633997,23.616708
639,就惠商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.633086,23.61684
640,小威商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.663892,23.616136
641,7-ELEVEn(广州南方学院),购物服务,便民商店/便利店,7-ELEVEn便利店,广东省,广州市,从化区,113.676339,23.631305
642,供销社购物中心(发辉店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.601773,23.618677
643,大岗梓豪商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.438878,22.773876
644,群欢商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.644408,23.481503
645,利莎商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.619623,23.480636
646,米奇百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.619603,23.478796
647,培兴购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.648654,23.519266
648,茵晴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.608058,23.491839
649,广州市从化江埔长新日杂店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.656068,23.513909
650,暖芬商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.645762,23.519592
651,爱霞商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.61582,23.472068
652,圆圆商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.633541,23.522287
653,雪霞商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.629223,23.523251
654,和顺购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.626324,23.524641
655,长兴日杂店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.638864,23.56986
656,琛晴轩商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.630368,23.566822
657,协兴商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.650014,23.575413
658,温泉照永商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.649445,23.575724
659,润和百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.617962,23.568653
660,照泳商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.649399,23.575667
661,子烨杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.649761,23.575416
662,凤院超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.616021,23.550233
663,渭群百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.651994,23.576877
664,新裕佳超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.65573,23.569955
665,易捷便利店(大德园店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.61291,23.552785
666,聚客商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.654934,23.572688
667,和姐商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.656002,23.570065
668,丰和超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.622952,23.593508
669,天福便利店(从化逸泉映翠店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.617843,23.573804
670,成小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.617857,23.569977
671,明记商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.6179,23.568932
672,佳乐超市(南岗三分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.545056,23.091647
673,客门笑便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.558698,23.094205
674,客家便利店(康南路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.558532,23.094387
675,好而惠超市(康南路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.558601,23.094373
676,荣茂平价商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.558405,23.094631
677,朝辉烟酒行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.558213,23.095167
678,舒邻便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.558846,23.096893
679,大利家百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.5577,23.09687
680,诚心便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.553795,23.095388
681,沈杨超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.552381,23.094542
682,日子便利店(东鸿三街),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.546907,23.106052
683,小区超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.556864,23.100801
684,湘缘百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.55052,23.094902
685,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.597381,23.16475
686,天福便利店(0325永和新庄店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.563304,23.190501
687,韵达快递(崇和花园),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.596475,23.168881
688,顺达士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.565663,23.183146
689,宜家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.565523,23.183409
690,洪轩百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.567202,23.182902
691,绿色超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.56262,23.185541
692,优品便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.562534,23.185642
693,景旺家百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.566032,23.184433
694,超南百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.561722,23.185958
695,强兰百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.562663,23.185785
696,和平商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.561848,23.185899
697,六六便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.566427,23.184636
698,全天易购连锁便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.565361,23.18529
699,家家杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.543693,22.91276
700,百越商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.54373,22.91219
701,和记百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.546192,22.901781
702,汉波杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.545553,22.902729
703,兴惠百货(新兴路),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.519035,22.919071
704,朝阳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.518961,22.919305
705,荣记百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.519007,22.919651
706,和发杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.518862,22.919054
707,万福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.56612,23.186261
708,芙蓉兴盛5276桑田四路,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.567253,23.186064
709,添添合家欢,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.568204,23.185559
710,圆通速递代收点,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.558682,22.774701
711,华盛商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.557569,22.769217
712,嘉惠百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.555245,22.770383
713,黄记商店(金岭南路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.557804,22.767857
714,智发商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.558059,22.769767
715,钱记杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.558135,22.769581
716,百家隆购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.557214,22.76946
717,红豆士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.553891,22.772595
718,志美商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.557471,22.769157
719,浓情商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.553919,22.772581
720,沙中百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.549777,22.856564
721,黄阁供销社商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.54837,22.855489
722,桥头士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.546948,22.851243
723,盛大商行(鳌洲街店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.532624,22.8413
724,金河百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.553884,22.817795
725,豪杰百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.538878,22.884033
726,添添百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.539924,22.884748
727,乐家优品(南沙分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.553519,22.817011
728,德村惠百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.538911,22.884282
729,小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.561653,22.816211
730,美宜佳(阳光城丽景湾店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.543622,22.820107
731,喜士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.542643,22.818738
732,丽星商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.542647,22.818749
733,甜甜百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.552899,22.815982
734,鸿狮百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.551869,22.816128
735,乔安超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.565591,22.687328
736,王记百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.569144,22.69125
737,永讯士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.569251,22.691334
738,阿然士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.645016,22.687723
739,龙穴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.644893,22.686676
740,广大茶烟酒,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.645527,22.688371
741,强达商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.646992,22.69022
742,龙头2元店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.645179,22.687174
743,春晖烟酒副食,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.64797,22.691267
744,顺意便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.64806,22.692027
745,龙源百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.64755,22.692156
746,好友好百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.644118,22.685107
747,楚嘉百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.648307,22.691714
748,思佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.647653,22.690895
749,百惠超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.64817,22.691532
750,美宜佳(龙穴岛店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.65146,22.684807
751,乐宜佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.652415,22.684154
752,谱丹百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.651856,22.684611
753,鸿泰商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.652294,22.684203
