,百世快递(沙井分部),生活服务,物流速递,物流速递.1,广东省,深圳市,宝安区,113.782577,22.722213
782,菜鸟驿站(深圳麻磡村南54栋店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.95212,22.635973
783,深圳市迅安通汽车运输有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.966637,22.59524
784,深圳大学城荷园快递服务中心,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.967621,22.593474
785,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.962273,22.593271
786,联昊通快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.962779,22.590677
787,中国移动(西丽大学城店),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.979077,22.591618
788,易速递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.96566,22.590593
789,申通快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.976568,22.616051
790,白沙物流园,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.954057,22.562695
791,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.973264,22.559876
792,浩森物流,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.971039,22.559495
793,中国电信(龙井营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.979866,22.561535
794,韵达快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.97624,22.561022
795,快捷快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.970785,22.559712
796,易速递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.970361,22.559428
797,深圳市西丽邮政支局,生活服务,邮局,邮局,广东省,深圳市,南山区,113.952974,22.575136
798,新屋村邮政代办所,生活服务,邮局,邮局,广东省,深圳市,南山区,113.96612,22.569041
799,中国移动(龙珠服营厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.980471,22.561364
800,菜鸟驿站(深圳南山龙井村西区49号店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.97364,22.55994
801,丰达中诚国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.971295,22.559097
802,中国移动(华侨城服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.982786,22.536395
803,中国电信(白石洲服务厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.968422,22.532602
804,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.968757,22.531156
805,钢筋加工配送中心,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.982022,22.521518
806,中通快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.967648,22.533499
807,中国电信沙河白石洲创联达服务厅,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.968978,22.532155
808,中国电信(华侨城营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.982026,22.537739
809,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.969857,22.53263
810,菜鸟驿站(白石洲东四方店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.969379,22.532755
811,白石洲中国移动社区服务站,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.968062,22.534769
812,中通速递(樟阁路),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.018306,22.747802
813,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.017302,22.749185
814,申通快递章阁总部,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.01495,22.747617
815,韵达速递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.01744,22.74765
816,中国电信澳门小区营业厅,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.020281,22.746398
817,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.017414,22.744059
818,速尔快递观澜中心,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.028897,22.753121
819,深圳市争运物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.02723,22.755138
820,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.022143,22.747577
821,荣力物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.024901,22.747098
822,菜鸟驿站(章阁老村东区170号店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.018192,22.747816
823,中通速递(樟阁路),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.018354,22.743093
824,中国电信(龙华区章阁营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.017804,22.743739
825,顺丰速运(志扬广场店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.016787,22.743574
826,顺丰速运(章阁市场营业站),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.019554,22.746198
827,申通快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.018317,22.743541
828,亿联通讯中国电信(万胜店),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.015438,22.729228
829,菜鸟驿站(深圳观澜大水坑金富苑店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.012597,22.725771
830,中通快递(观澜收派点),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.015346,22.726571
831,德邦(福民营业部),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.028883,22.717953
832,中国电信(大水坑营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.013679,22.732143
833,韵达(大水坑3村165栋合作代办点),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.012021,22.72679
834,百世快递自取点,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.01435,22.72935
835,菜鸟驿站(百丽名苑店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.017294,22.72627
836,中国邮政大水坑邮政代办所,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.014274,22.728302
837,菜鸟驿站(深圳大水坑二村轩雅公寓店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.00792,22.72547
838,菜鸟驿站(深圳大水坑三村202栋店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.0152,22.72598
839,菜鸟驿站(深圳观澜大三村163栋店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.012595,22.725807
840,菜鸟驿站(深圳大水坑二村轩雅公寓40栋店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.00792,22.72547
841,韵达,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.01617,22.726295
842,菜鸟驿站(深圳观澜大水坑三村165栋店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.012065,22.727128
843,深圳联航国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.011076,22.682159
844,中国邮政(大浪邮政代办所),生活服务,邮局,邮局,广东省,深圳市,龙华区,114.00601,22.681107
845,百世快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.012928,22.680803
846,原飞航物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.014046,22.682006
847,百世快运大浪总部,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.01281,22.680674
848,飘香阁邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,龙华区,114.001251,22.677063
849,中国移动(牛地埔营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.016942,22.661851
850,菜鸟驿站(喜洋洋莞永鸿分店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.010459,22.679052
851,韵达速递(大浪街道浪口村二区营业点),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.010393,22.679518
852,菜鸟快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.009138,22.685974
853,安能物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.017,22.682793
854,腾讯王卡宽带驿站,生活服务,电讯营业厅,电讯营业厅,广东省,深圳市,龙华区,114.008184,22.677498
855,中国移动(龙胜营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.01192,22.643981
856,佳吉快运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.022354,22.63605
857,中国邮政龙华支局,生活服务,邮局,邮局,广东省,深圳市,龙华区,114.01575,22.655359
858,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.012177,22.643182
859,中国移动(龙华营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.027761,22.656028
860,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.008768,22.640756
861,联宇物流深圳子公司(联宇天翼),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.011318,22.639721
862,中国联通(深圳龙华人民北营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,龙华区,114.025972,22.65049
863,中国电信(上芬营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.016829,22.642393
864,顺丰速运(腾龙路店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.01387,22.638223
865,菜鸟驿站(深圳特发和平里1期F座70号店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.013673,22.642598
866,菜鸟驿站(南方科技大学),生活服务,物流速递,物流速递,广东省,深圳市,南山区,114.00066,22.59985
867,蜂巢快递箱,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.99929,22.600895
868,中国移动塘朗营业服务点,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.999999,22.591994
869,中国移动塘朗服务厅,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.998877,22.591636
870,中国联通南山宝能环球汇营业厅,生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,南山区,113.998576,22.59035
871,韵达快运(北站营业部),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.025802,22.616221
872,中国电信(学苑大道营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,114.000022,22.592262
873,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.025904,22.616611
874,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.024788,22.616447
875,中铁快运,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.015678,22.561662
876,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.018407,22.556228
877,中国移动(侨香营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,福田区,114.013826,22.550983
878,中国移动(竹子林服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,福田区,114.010591,22.534533
879,中国电信下沙店服务厅,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.027217,22.523785
880,中旅仓库区,生活服务,物流速递,物流仓储场地,广东省,深圳市,南山区,113.994461,22.537898
881,竹子林邮政所,生活服务,邮局,邮局,广东省,深圳市,福田区,114.012804,22.535825
882,中国联通(深圳车公庙营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,福田区,114.031078,22.531422
883,瑞航达国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.023571,22.530947
884,中国电信(下沙营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.025118,22.528589
885,中国电信(广深联营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.029631,22.524408
886,竹子林投递部,生活服务,邮局,邮政速递,广东省,深圳市,福田区,114.012654,22.535724
887,深国际华通源物流中心,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.033045,22.760864
888,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049336,22.7511
889,丰源顺物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.037143,22.763955
890,韵达快递(观澜桂花站),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.056216,22.745952
891,中国电信(桂香营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.057344,22.746516
892,深圳市诚信阅天下物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.038511,22.759408
893,中国移动(4G企坪专营店),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.052224,22.74758
894,奔诚达物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049524,22.746685
895,金伟东北专线,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.034563,22.761565
896,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.035276,22.755553
897,湘吉泰物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.033578,22.76114
898,中通快运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.044971,22.746218
899,童汇物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.033325,22.762311
900,深意物流华通源营业部,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.033319,22.76172
901,鑫正达物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.03322,22.761425
902,京津冀物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.033578,22.76114
903,哲创邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,龙华区,114.033255,22.753656
904,金鹏行物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.032567,22.76158
905,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.042184,22.746831
906,中铁快运(观澜分部),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.032942,22.761212
907,旺平达物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.032719,22.762174
908,祥昌物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.03254,22.761455
909,华佐桂香配送点,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.058115,22.745293
910,中国邮政观澜支局,生活服务,邮局,邮局,广东省,深圳市,龙华区,114.05479,22.717893
911,菜鸟驿站(观澜阳光花园店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049564,22.71896
912,联城邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,龙华区,114.04885,22.717642
913,中国电信(观澜大布巷营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.048832,22.717642
914,百世快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.048822,22.717945
915,速递易,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.056129,22.72048
916,菜鸟驿站(深圳观澜众安街75号店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.055313,22.720051
917,中国电信(民乐福营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.055282,22.715964
918,顺心捷达(龙华营业部),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049718,22.678431
919,快递e站,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049731,22.67728
920,中国移动(大和服营厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.04866,22.695499
921,招商澜园中通快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049072,22.685875
922,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.04963,22.676451
923,大和东奄村邮政所,生活服务,邮局,邮局,广东省,深圳市,龙华区,114.053109,22.687626
924,嘀嗒国际物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.051901,22.676036
925,腾信国际物流(龙华分公司),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052123,22.676675
926,钧皓物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.051733,22.675583
927,安能ane雪岗北路,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.04951,22.675561
928,美泰物流网坂田服务厅,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049534,22.675569
929,上启国际物流(深圳)有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.050539,22.676261
930,深圳市万祥国际货运代理,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.051187,22.675483
931,乐航静发跨境物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.058935,22.681279
932,菜鸟驿站(深圳招商澜园4栋兰桂坊店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.04719,22.68545
933,菜鸟驿站(深圳观澜大和村571栋店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.050806,22.687307
934,中国电信(清湖营业点),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.047097,22.668624
935,中国电信(鹏志网络),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.052622,22.641481
936,耀丰通运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.048995,22.641104
937,顺丰速运(富豪新村二巷),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.051723,22.640932
938,快捷快递(水斗富豪新村),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052359,22.642249
939,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.053249,22.642302
940,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.05222,22.641048
941,天天快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.053616,22.641566
942,申通快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052842,22.642382
943,云途物流(龙华营业部),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.050414,22.641958
944,圆通速递(富豪新村十二巷),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.053253,22.641747
945,水斗富豪韵达快递代理点,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.05183,22.641952
946,综合服务处,生活服务,电讯营业厅,电讯营业厅,广东省,深圳市,龙华区,114.05241,22.641446
947,货拉拉龙华培训门店,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.049984,22.64165
948,中国移动(坂田沟通100营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙岗区,114.063467,22.634824
949,中国邮政速递物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.053317,22.642377
950,小狮快送龙华营业部,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.048737,22.642043
951,兰亭国际物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052205,22.639081
952,深圳市华航运物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.051467,22.639445
953,百事快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.050287,22.638772
954,冠廷速递(深圳)有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.048699,22.642764
955,扬程国际物流深圳分公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052456,22.63917
956,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.051234,22.601866
957,深国际华南物流,生活服务,物流速递,物流仓储场地,广东省,深圳市,龙华区,114.052599,22.614478
958,中国联通(民乐社区营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,龙华区,114.050425,22.600866
959,丰巢快递箱,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052132,22.600849
960,中通速递民乐营业点,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052493,22.600683
961,韵达快递民乐服务点,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.050687,22.599951
962,菜鸟驿站(壹站便利店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.050868,22.598443
963,顺丰速运(民乐东路),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.052471,22.599881
964,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.050236,22.600216
965,百世汇通快递,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.05182,22.599693
966,中国移动(民富路店),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙华区,114.050044,22.599956
967,中国电信(万家灯火专营店),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.055229,22.600148
968,菜鸟驿站(深圳民乐老村65栋店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.05141,22.600245
969,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.054207,22.601193
970,中国邮政(深圳市梅林支局),生活服务,邮局,邮局,广东省,深圳市,福田区,114.048069,22.564978
971,中通速递,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.051884,22.563012
972,极兔速递,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.051594,22.562958
973,车来车往专业轿车托运,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.051799,22.563023
974,中国移动(景田北服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,福田区,114.043684,22.553769
975,速递易,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.05158,22.563219
976,韵达快递(梅华路),生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.052698,22.56518
977,中国电信,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,福田区,114.055379,22.564669
978,中国邮政,生活服务,邮局,邮局,广东省,深圳市,福田区,114.052236,22.565103
979,菜鸟驿站(上梅林祠堂村52栋中通快递),生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.051956,22.56303
980,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.049625,22.565902
981,蜂巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.051208,22.558992
982,菜鸟快递,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.053184,22.558687
983,中国移动(上梅林营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,福田区,114.054777,22.564697
984,中国移动(石厦服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,福田区,114.050168,22.522635
985,中国电信(石夏营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.050753,22.521324
986,申通快递(皇岗营业点),生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.057753,22.525604
987,顺丰速运(皇岗三街),生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.064889,22.528294
988,中国电信(益田营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.047295,22.517601
989,石厦电信营业厅,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.050752,22.52133
990,源兴邮政代办所,生活服务,邮局,邮局,广东省,深圳市,福田区,114.050083,22.521294
991,中国电信(新洲营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.045851,22.523298
992,优速快递,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.050259,22.521325
993,中国电信(新洲九街营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,福田区,114.047258,22.52466
994,丹鸟快递,生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.050187,22.520715
995,e栈(天虹商场福民店),生活服务,物流速递,物流速递,广东省,深圳市,福田区,114.052566,22.522428
996,百世汇通(牛湖石二村便民服务中心),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.090516,22.72189
997,菜鸟驿站(维客佳),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.091369,22.724084
998,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.092784,22.724099
999,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.094291,22.721197
1000,韵达快递(石头分部),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.088374,22.720854
1001,蜂羽物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.091244,22.725144
1002,韩中物流集团,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.095588,22.723775
1003,中通快运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.090981,22.717331
1004,深圳市铭可达物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.106638,22.72048
1005,深圳市盛鑫达物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.086894,22.719658
1006,菜鸟驿站(凌屋小区店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.097191,22.721071
1007,菜鸟驿站(深圳观澜石一新村47号店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.08744,22.72008
1008,中通快递(金倡达店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.082897,22.683853
1009,安捷利国际物流,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.082647,22.684486
1010,华洋达国际货运仓库,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.081642,22.679667
1011,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙岗区,114.098422,22.691014
1012,深圳市聚成国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.082875,22.682037
1013,中国移动通信,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,龙岗区,114.098494,22.690919
1014,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙华区,114.078153,22.685591
1015,菜鸟驿站(深圳观澜樟坑径上围工业区店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.082867,22.683466
1016,五洲国际货运,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.100021,22.689074
1017,中通快递寄件点,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.098296,22.690777
1018,菜鸟驿站(深圳观澜樟坑径上围路店),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.081917,22.679683
1019,上围衡易通邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,龙华区,114.079037,22.681873
1020,五洲国际货运靖云达龙岗营业部,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.099913,22.688973
1021,壹米滴答,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.091256,22.69449
1022,天地华宇,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.091007,22.694527
1023,优速快递(观兰高新一部),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.072438,22.684834
1024,菜鸟驿站(辅城坳白龙头一巷八号店),生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.098454,22.69066
1025,菜鸟驿站(深圳观澜中森公园华府站),生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.087706,22.692223
1026,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,龙华区,114.086872,22.694644
1027,拓途国际物流,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.090057,22.641629
1028,快越达物流,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.091058,22.639991
1029,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,龙岗区,114.089183,22.63966
1030,万色速递有限公司,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.091849,22.640605
1031,中航运通国际物流,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.089818,22.643399
1032,上华信丰物流,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.089681,22.643368
1033,圆通快递(科技园店),生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.089134,22.640376
1034,深圳市永航达国际货运有限公司总部,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.091812,22.643544
1035,欧美日本专线,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.091517,22.638367
1036,中昌晟物流,生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.089601,22.644712
1037,拓威天海(深圳分部),生活服务,物流速递,物流速递,广东省,深圳市,龙岗区,114.09181,22.645285
