,智勇闯关,购物服务,家电电子卖场,家电电子卖场.1,广东省,深圳市,宝安区,113.768216,22.724106
509,国美电器(深圳横岗银信广场店),购物服务,家电电子卖场,国美,广东省,深圳市,龙岗区,114.208544,22.645477
510,国美电器(力嘉路店),购物服务,家电电子卖场,国美,广东省,深圳市,龙岗区,114.204997,22.640609
511,创新电器(沙吓路),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.210741,22.642477
512,格力,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.21149,22.6428
513,欣欣电器(富康路),购物服务,家电电子卖场,综合家电商场,广东省,深圳市,龙岗区,114.211594,22.642765
514,富康卡行,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.212146,22.641714
515,兴全不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.21076,22.641553
516,辉灿电脑科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.211236,22.64275
517,万顺达电器,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,龙岗区,114.211611,22.643719
518,AppleStote西坑分店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.222273,22.61093
519,新世纪家私(沙盐路),购物服务,家居建材市场,家具城,广东省,深圳市,盐田区,114.231192,22.550677
520,天威视讯(盐田营业部),购物服务,家电电子卖场,手机销售,广东省,深圳市,盐田区,114.228775,22.552533
521,阳正通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,盐田区,114.222587,22.55615
522,雅兰床垫(沙深路),购物服务,家居建材市场,布艺市场,广东省,深圳市,盐田区,114.22968,22.548509
523,亿强五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,盐田区,114.221143,22.557039
524,兴杰五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,盐田区,114.222603,22.555768
525,中国移动直销点,购物服务,家电电子卖场,手机销售,广东省,深圳市,盐田区,114.224643,22.555329
526,小飞通讯手机店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.246354,22.756181
527,梅兴电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.245542,22.757569
528,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.242807,22.753757
529,鸿运平价家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.245268,22.755038
530,金达福系统门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.255976,22.756214
531,隆丰家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.249573,22.752787
532,苏宁易购,购物服务,家电电子卖场,苏宁,广东省,深圳市,龙岗区,114.244715,22.744534
533,苏宁易购,购物服务,家电电子卖场,苏宁,广东省,深圳市,龙岗区,114.253366,22.743234
534,地坪漆防水涂料,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.246884,22.755856
535,中国电信,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.244439,22.754309
536,金源汇金属,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.251725,22.754377
537,富发五金交电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.246665,22.755757
538,鸿发家私城,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.250046,22.743876
539,宏发兴平价家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.245433,22.752459
540,深圳市龙岗电子世界中讯通电子经营部,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251151,22.721562
541,格力中央空调(联宇万象天成店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.253454,22.723835
542,润达兴电脑,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.251411,22.721556
543,联想专卖店,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251411,22.721555
544,荣俊电脑,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.251345,22.721401
545,正升电脑科技,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.251247,22.721498
546,威亚电脑商行,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.251151,22.721554
547,荣恒电脑监控科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251387,22.721561
548,苹果专卖店手机维修,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.251033,22.721425
549,惠普专卖店,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251411,22.721555
550,亿飞涵电脑配件商行,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251101,22.721604
551,深圳市凯辉实业有限公司,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251265,22.721535
552,TP-LINK一级授权代理商,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251091,22.721463
553,龙岗电子世界.西叶电脑公司,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251102,22.721395
554,深圳市龙岗区卓宸电子商行,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251355,22.72156
555,维贵电脑,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251356,22.7215
556,深圳市龙岗区兴鸿通讯器材店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.251321,22.721467
557,江枫如意电脑行,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.251247,22.721498
558,华语特价空调专卖,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.249991,22.685575
559,中国移动(鸿顺授权店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.252985,22.688103
560,联达建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.247804,22.681264
561,一号通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.250511,22.686771
562,中国移动通信,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.246609,22.646821
563,二手空调电器买卖,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.243007,22.645839
564,沙荷五金模具省模抛光店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.246287,22.647515
565,鑫洲不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.245675,22.646422
566,茂兴水泥建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.245647,22.647429
567,三棵树,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.242897,22.645813
568,格力空调批发零售,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,盐田区,114.246534,22.595455
569,慕思盐田旗舰店,购物服务,家居建材市场,家具城,广东省,深圳市,盐田区,114.249812,22.592738
570,格力中央空调,购物服务,家电电子卖场,数码电子,广东省,深圳市,盐田区,114.250652,22.593894
571,东海家居,购物服务,家居建材市场,家具城,广东省,深圳市,盐田区,114.249763,22.59274
572,东恒环保卡板,购物服务,家居建材市场,建材五金市场,广东省,深圳市,盐田区,114.248268,22.595925
573,小刘电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,盐田区,114.255007,22.593326
574,格力中央空调(东海家居),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,盐田区,114.249808,22.592752
575,高压配电柜,购物服务,家居建材市场,家居建材市场,广东省,深圳市,盐田区,114.253155,22.567661
576,佛山陶瓷,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,盐田区,114.235788,22.551386
577,澳特弗净水器生产厂家,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.295799,22.785776
578,泰原五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.298965,22.782076
579,拉菲德堡,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.294755,22.76686
580,鹏兴通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.288905,22.761089
581,品安家居橱柜衣柜,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.289834,22.762103
582,龙新水泥店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.293291,22.762645
583,源通白铁不锈钢工程,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.2924,22.762499
584,广兴通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.29164,22.758691
585,华粤龙建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.293864,22.76158
586,攀晟钢材,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.293851,22.762516
587,鸿华盛业建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.293276,22.762437
588,宝裕丰建材部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.293248,22.762405
589,深圳市金尚实业有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.293589,22.762192
590,深圳市华粤龙管材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.293865,22.761576
591,攀昆建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.293861,22.762501
592,兴之达,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.294328,22.761114
593,利尚电子,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.293761,22.763796
594,海尔空调(花园路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.28661,22.761989
595,佳得宝家具城(新城路店),购物服务,家居建材市场,家具建材综合市场,广东省,深圳市,龙岗区,114.282166,22.746555
596,深华盛钢材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.294271,22.761609
597,伟华钢材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.294285,22.761906
598,手机美图,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.29078,22.720886
599,进兴床上用品批发,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.290897,22.721446
600,立鹏手机店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.290468,22.721005
601,佳音电器,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,龙岗区,114.289194,22.718837
602,靖皓通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.290825,22.721747
603,兴合机械加工,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.292895,22.722761
604,中国电信宝龙合作营业厅,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.286667,22.693555
605,深圳市唐家厨房设备有限公司,购物服务,家居建材市场,厨卫市场,广东省,深圳市,龙岗区,114.286786,22.682136
606,昂飞科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.284099,22.682915
607,泉来净水器公司,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.283177,22.690172
608,爱玛丽奥,购物服务,家居建材市场,家具城,广东省,深圳市,坪山区,114.292282,22.670758
609,机电维修,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,龙岗区,114.288548,22.691999
610,道通智能,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,盐田区,114.277404,22.632177
611,弓行天者,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.29221,22.657996
612,星沃移动电源(深圳北站),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,盐田区,114.304993,22.59556
613,高端红木定制,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.332186,22.797418
614,融森家私,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.334953,22.801818
615,喜荣家私海绵(深圳)有限公司,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.329298,22.793773
616,鑫豪通信,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.336872,22.798368
617,尚景家具厂,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.336548,22.797451
618,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.337187,22.792849
619,龙顺五金交电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.333452,22.793488
620,康龙五金交电商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.333505,22.79293
621,美顺家购物广场,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.3219,22.769177
622,庄严五金交电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.333232,22.766179
623,洺宇电脑科技,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.333261,22.765075
624,手机电脑监控专卖,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.330902,22.766186
625,庆丰电器百货商城,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.329766,22.766282
626,海尔专卖店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.329782,22.76629
627,壹嘉全铝家居,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.330032,22.76521
628,A牌家具腻子,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.328048,22.722931
629,程源五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.327112,22.722927
630,恒丰电器(电脑),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.324557,22.723653
631,华鑫达建材商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.32591,22.72115
632,乐木家居,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.323298,22.724989
633,蓝天通讯(新布店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.323787,22.721667
634,荣昌家具,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.32204,22.713787
635,恒信华典家具,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.32925,22.734056
636,金凤凰家具,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.317639,22.715383
637,苏宁易购,购物服务,家电电子卖场,苏宁,广东省,深圳市,坪山区,114.334231,22.676305
638,格力电器(万达安坪山大道店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.33716,22.683181
639,乐安居(坪山店),购物服务,家居建材市场,家具建材综合市场,广东省,深圳市,坪山区,114.338678,22.682843
640,固安达门业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.32904,22.681865
641,大理石,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.329057,22.682038
642,诚惠通讯(天虹商场店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.328319,22.680258
643,华为,购物服务,家电电子卖场,数码电子,广东省,深圳市,坪山区,114.33055,22.680102
644,格力中央空调(坪山大道店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.33474,22.679142
645,华大科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.320013,22.692254
646,公安视频监控,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.336184,22.684086
647,大沙五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,盐田区,114.314418,22.598946
648,泰丰源建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.327719,22.685275
649,华润水泥经销部,购物服务,家居建材市场,家居建材市场,广东省,深圳市,坪山区,114.33492,22.678374
650,金富仁五金电器商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.335782,22.68405
651,豪森家具,购物服务,家居建材市场,家具城,广东省,深圳市,坪山区,114.338678,22.682843
652,圣博纳衣柜坪山店,购物服务,家居建材市场,家具城,广东省,深圳市,坪山区,114.338819,22.682239
653,华杰机械,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.375423,22.760813
654,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.370897,22.760559
655,广盈通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.370925,22.760321
656,华诚网络科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,坪山区,114.371683,22.761098
657,深圳市坪山区时代电脑科技店,购物服务,家电电子卖场,数码电子,广东省,深圳市,坪山区,114.369842,22.760666
658,港隆五金商店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.370495,22.760231
659,和平白铁通风设备,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.375719,22.762336
660,恒合信塑胶行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.375031,22.762384
661,天佑铜铝绝缘材料,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369582,22.759649
662,新南天家具,购物服务,家居建材市场,家具城,广东省,深圳市,坪山区,114.361471,22.720858
663,兴源钢材镀锌角铁槽钢方通工字钢韶钢钢筋钢板钢管法兰弯头,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.367501,22.724799
664,铨兴五金建材批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369784,22.682699
665,中国移动(柏宇通讯店),购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.371177,22.684617
666,志诚通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.371197,22.68462
667,新盛达玻璃装饰,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369835,22.686446
668,深圳睿利兴科技有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.368769,22.686212
669,华发钢材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.368652,22.686226
670,鑫邦达不锈钢剪折板,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369499,22.687107
671,尚粤螺丝店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369006,22.687022
672,日丰管(东纵路店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369853,22.68646
673,和创铜铝材料,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.368645,22.686993
674,坪山区美景建材水泥店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369613,22.686426
675,润发建材店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.371487,22.687598
676,湘粤防水涂料批发,购物服务,家居建材市场,家居建材市场,广东省,深圳市,坪山区,114.372925,22.68735
677,立邦联丰防水涂料批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.366985,22.68626
678,盛德行钢材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.361046,22.686861
679,广顺五金机电商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.368746,22.68701
680,欣创达不锈钢科技有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.369252,22.68642
681,华记板材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.366047,22.686086
682,尚誉大吉门业(坪山店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.366157,22.68609
683,老八铝材(坪山店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.36616,22.686072
684,崇兴建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.368702,22.686501
685,金辉五金电器,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.364024,22.686843
686,鑫八不锈钢剪折板,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.366278,22.68606
687,香港雪宝锦祥兴装饰材料,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.366083,22.68612
688,东顺有机玻璃店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.365759,22.686076
689,金欧雅陶瓷(坪山店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.366909,22.686257
690,东成电动工具(东纵路店),购物服务,家居建材市场,家居建材市场,广东省,深圳市,坪山区,114.373284,22.688002
691,鑫源五金建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.368321,22.686985
692,俊鑫达玻璃胶批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.367636,22.686953
693,宏兴厨具不锈钢制品,购物服务,家居建材市场,家居建材市场,广东省,深圳市,坪山区,114.373119,22.688113
694,鑫隆电动无声卷闸门制造厂,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.36962,22.687099
695,万达五金机电行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.373284,22.688175
696,广恒通五金建材贸易部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.372012,22.687759
697,顺永发建筑模板店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.373318,22.687559
698,欧法特家具,购物服务,家居建材市场,家具城,广东省,深圳市,坪山区,114.361127,22.686092
699,盛诚五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.372259,22.687844
700,豪兴天花装饰,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.37228,22.68785
701,新顺兴五金批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.365625,22.686073
702,中兴玻璃不锈钢铝合金门窗工程,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.36713,22.6869
703,东兴厨具白铁不锈钢工程,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.372247,22.687846
704,万达通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.379284,22.688518
705,金沙市场,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.398789,22.755756
706,大冰的小屋,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.412668,22.761131
707,OPPO手机店(坑梓街道),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.412569,22.760838
708,vivo(丹梓东路店),购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.411529,22.76244
709,宜想连锁,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.411599,22.762911
710,轮发通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.410103,22.76108
711,天天电讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.410898,22.759928
712,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.410758,22.759997
713,极速电脑(田脚村店),购物服务,家电电子卖场,数码电子,广东省,深圳市,坪山区,114.41161,22.759939
714,天健涂料,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.404924,22.761946
715,OPPO,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.411742,22.762278
716,宇众五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.412352,22.760259
717,监控网络,购物服务,家电电子卖场,数码电子,广东省,深圳市,坪山区,114.408075,22.758531
718,电脑电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.401771,22.692806
719,艺家家私厂,购物服务,家居建材市场,家居建材市场,广东省,深圳市,坪山区,114.406235,22.691901
720,顺昌门窗装饰部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,坪山区,114.413001,22.693299
721,万通手机店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,坪山区,114.418976,22.6932
722,佳惠通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.40191,22.692244
723,铭兴建材店,购物服务,家居建材市场,家居建材市场,广东省,深圳市,坪山区,114.408439,22.693754
724,时尚手机体验店,购物服务,家电电子卖场,手机销售,广东省,深圳市,坪山区,114.40212,22.692459
725,vivo官方直营店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.429484,22.63511
726,华富大理石,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.412652,22.637033
727,恒信通讯(葵新路),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.422249,22.631576
728,广东康福特藤椅厂家,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.415496,22.626152
729,深圳市大鹏新区顺联鑫电器,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.408648,22.635808
730,文伟门窗行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.412798,22.635636
731,金昇五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.413187,22.635455
732,德艺轩石材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.40901,22.635645
733,名望建材店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.409179,22.635883
734,全铝家具工厂直营,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.408511,22.635834
735,盼盼木门·地板,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.410998,22.610814
736,环宇手机店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.406196,22.614012
737,湘西智能家居,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.405544,22.614003
738,集胜五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.407037,22.614256
739,光顺鑫五金商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.405255,22.613943
740,联塑管道,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.405273,22.613901
741,深圳市巧匠房屋维修加固材料商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.408473,22.613687
742,粤科特五金商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.405282,22.61391
743,电动工具专修专卖,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.435684,22.630047
744,新恒兴泰五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.434323,22.631937
745,金伟业照明,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,龙岗区,114.470045,22.596785
746,立群装饰五金建材行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.469413,22.597067
747,嘉元塑钢门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.469563,22.597064
748,合群五金建材批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.470373,22.597104
749,金利达五金轴承油封齿轮商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.469885,22.597328
750,茂盛冷气机电不锈钢工程部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.471124,22.597599
751,茂丰五金机电经销部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.470413,22.596529
752,德高防水(宝安区观澜一方化工专卖店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.471306,22.597764
753,创建五金化工机电冷气维修安装水电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.498213,22.642301
754,美的(深圳大鹏建新店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.479583,22.596803
755,辉煌,购物服务,家居建材市场,厨卫市场,广东省,深圳市,龙岗区,114.476236,22.593442
756,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.476593,22.594562
757,同乐家私城(大鹏店),购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.482076,22.586149
758,晟翔全屋定制,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.482395,22.594397
759,美居装饰材料行(迎宾路店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.477932,22.591434
