,金都汇,生活服务,洗浴推拿场所,洗浴推拿场所.1,广东省,深圳市,宝安区,113.784945,22.716002
448,桂华源养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.243896,22.754295
449,五联纳米养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.245931,22.751749
450,丽丽盲人按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.248142,22.750565
451,张老足底(中心城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.253029,22.728595
452,欧景城水疗健身会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.236059,22.725082
453,满足堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.250504,22.723116
454,桃花源休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.265544,22.718527
455,VanCat梵猫(龙岗店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.251423,22.724431
456,香水湾休闲,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.27036,22.721955
457,世外桃园休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.265079,22.729236
458,众旺专业修脚店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.255389,22.724638
459,真源堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.240944,22.725901
460,深圳龙岗珠江皇冠假日酒店-桑拿(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.25048,22.7232
461,余师傅盲人中医推拿按摩理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.25405,22.725106
462,张老足底(南联路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.263069,22.723255
463,碧水阳光休闲(嶂背店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.250008,22.686492
464,君怡养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.24787,22.686348
465,峰雪足道馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.253319,22.687874
466,香樟园休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.253226,22.68852
467,易正堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.261088,22.683598
468,心如美容足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.243319,22.68335
469,富华足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.246303,22.646964
470,新富华休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.246541,22.646756
471,一米阳光休闲,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.240938,22.645308
472,康足健养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.242804,22.64904
473,沐足养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.239601,22.645577
474,明人馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.238255,22.643824
475,水森林养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.247756,22.594677
476,东海岸休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.25527,22.590001
477,郑远元专业修脚房(和亨家园店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.253141,22.590805
478,尚岸养生园,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.257381,22.59144
479,鸿福轩休闲馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.252022,22.588803
480,广益堂·正骨推拿(深圳盐田分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.250155,22.568464
481,正怡堂养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.238823,22.557205
482,金色盆地足浴保健城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.301232,22.76467
483,足浴按摩汗蒸理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.287816,22.756477
484,皇室推拿音乐足吧,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.284297,22.762812
485,东海洲际休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.287772,22.755736
486,鑫蓝梦湾休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.284504,22.762905
487,新起点养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.295167,22.767986
488,开心果,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.291298,22.721889
489,鸿发养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.292391,22.722395
490,金色月光养生园(金色风铃店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.290546,22.723667
491,金之源会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.292445,22.723979
492,江南故事沐足中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.2909,22.724661
493,何姐足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.292179,22.7241
494,金龙休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.289756,22.723984
495,良子足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.29003,22.725653
496,江南故事,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.290849,22.724679
497,雅歌盲人专业按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.292731,22.718104
498,中医理疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.286587,22.692416
499,茵特拉根温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.27477,22.633101
500,茵特拉根华侨城酒店-桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.275792,22.631325
501,小苹果休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.286525,22.693847
502,艾仁堂养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.305292,22.595841
503,水森林养生馆(大梅沙店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.305132,22.595714
504,大梅沙海景酒店-桑拿按摩中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.30653,22.593568
505,鑫汇足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.310537,22.600499
506,芭堤雅酒店-足浴(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.31002,22.599684
507,大梅沙京基海湾大酒店水疗中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.310503,22.598021
508,观心堂养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.309696,22.602152
509,海边浴场,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.305534,22.592165
510,养元艾灸精剪美容美发,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.340904,22.792683
511,屈氏健康理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.32707,22.785369
512,钟氏理疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.324622,22.785395
513,水莲花养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.322697,22.78462
514,金宝源休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.330691,22.765154
515,逸美理疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.331883,22.766511
516,百龄足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.34005,22.706934
517,易林源足匠,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.336024,22.68393
518,郭大侠艾灸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.328251,22.679374
519,富足道足疗养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.327664,22.680791
520,大众中医按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.335093,22.679088
521,随心所浴养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.346626,22.695709
522,张老足底(乐安居店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.339507,22.68357
523,海滨浴场(装修中),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,盐田区,114.314263,22.597536
524,乐安居国际酒店-足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.339529,22.683851
525,乐安居国际酒店-按摩室,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.339529,22.683851
526,中医按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.373206,22.762919
527,童鑫休闲养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.375796,22.761771
528,益心沐足养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.370323,22.754799
529,皇朝休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.372484,22.735185
530,K舞沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.372722,22.735255
531,海之蓝健康会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.370769,22.681787
532,明珠殿休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.371527,22.684516
533,水中花休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.368728,22.686097
534,金海会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.379859,22.688993
535,华星休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.378289,22.689148
536,南美青花池,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.363762,22.688335
537,白云山精油体验馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.362099,22.689657
538,百乐访,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.380488,22.691032
539,馨欣足浴店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.386697,22.682752
540,裕鑫阁休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.358435,22.686057
541,金悦湾音乐会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.412679,22.761141
542,洛脚点,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,坪山区,114.403712,22.693067
543,皇室足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.419505,22.628641
544,百龄足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.4192,22.634477
545,TOUCH颐尊(深圳佳兆业万豪店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.45941,22.569471
546,辉煌,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.476236,22.593442
547,张老足底(大鹏店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.479478,22.586135
548,知足乐·道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.47893,22.596434
549,金康福养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.476704,22.592259
550,杨波采耳修脚(大鹏店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.477645,22.596346
551,湖北李时珍艾灸馆(大鹏店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.4788,22.596379
552,好客来中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.477177,22.593399
553,月亮湾休闲都会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.481335,22.587877
554,金都城休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.477215,22.594333
555,足运来专业修脚房(南联商业街分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.495777,22.567363
556,深圳市大鹏新区南澳圣效堂保健按摩中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.484032,22.547105
557,康城沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.495238,22.534235
558,核电按摩馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.527141,22.593717
559,泰国鱼疗休闲馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.51308,22.594653
560,古城鱼疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.513077,22.594649
561,落脚地足浴坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.512321,22.590408
