,幸福·月光茶人(好万年店),餐饮服务,冷饮店,冷饮店.1,广东省,深圳市,宝安区,113.784839,22.715557
478,佳田生日蛋糕(坪山天虹店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.329382,22.679494
479,烧仙草雨田,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.329104,22.679401
480,Luckin coffee瑞幸咖啡(创新广场店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,坪山区,114.334966,22.681339
481,100度果饮,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.34125,22.65128
482,麦莎蒂斯(力高君御国际店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.331022,22.67747
483,往事若茶旗舰店(坪山天虹店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.328727,22.67932
484,爱尚你休闲吧,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,坪山区,114.329219,22.673658
485,幸福西饼(龙光玖云著店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.331029,22.679536
486,粤回味肠粉快餐店,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,盐田区,114.324396,22.601819
487,茶尼斯奶茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.37108,22.760392
488,g壹kitchen,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,坪山区,114.36087,22.719513
489,tea8(坪山益田假日世界店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.358719,22.723764
490,太平洋咖啡(深圳翠景路店),餐饮服务,咖啡厅,Pacific Coffee Company,广东省,深圳市,坪山区,114.384165,22.730606
491,亲爱的蜂蜜茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.383766,22.731159
492,优味烘焙蛋糕(双秀店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.382191,22.740446
493,世纪蛋糕,餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.369046,22.684156
494,意冰客,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.372129,22.683279
495,柠檬草奶茶(坪山店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.371401,22.684603
496,堡正香下午三点半,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.369755,22.684567
497,巴比伦蛋糕(江岭店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.355397,22.685144
498,宫廷贡茶(创忆未来城店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.411734,22.762654
499,老虎黑糖(坪山店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.412748,22.758308
500,琪香蛋糕,餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.403796,22.692254
501,利隆行茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,坪山区,114.398346,22.691483
502,莫石特,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,坪山区,114.398565,22.693559
503,阿嗖咕面包,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.408803,22.636427
504,全笙一茶(葵涌店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.414889,22.635161
505,萨兰尼汉堡,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.420262,22.633897
506,MY TEA卖茶(大鹏店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.422544,22.633362
507,柒捌玖零咖啡店,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.416249,22.610736
508,GREEN MORNING,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.425,22.60325
509,美食每刻蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.407547,22.614462
510,8090鲜萃茶(葵涌店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.43472,22.631956
511,果然新鲜白羽正新鸡排,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.435661,22.63273
512,介里奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.434843,22.631376
513,咖啡屋夏日么么茶,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.45446,22.57199
514,刘伊盏茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.481262,22.597156
515,幸福西饼(大鹏店),餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.481659,22.596826
516,茶小姐,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.479006,22.596425
517,隐cafe&cocktail,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.481239,22.597138
518,幸福点点蛋糕(大鹏店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.479584,22.59347
519,休闲呢站(大鹏店),餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,龙岗区,114.4772,22.596261
520,优の味奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.479239,22.596827
521,48号休闲水吧,餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.475165,22.591877
522,满哥甜品(大鹏店),餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.475019,22.594056
523,街猫咖啡馆(大鹏佳兆业店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.474645,22.594392
524,大口九(大鹏新区店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.49396,22.566053
525,VND休闲饮吧,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.495469,22.563706
526,香江维园港式茶餐厅(南澳店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.492373,22.534647
527,羊大胖奶茶铺(南澳店),餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,龙岗区,114.492332,22.534788
528,休闲昵站,餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.492337,22.534743
529,五谷说,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.49267,22.534632
530,茗湾咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.477161,22.59265
531,榴芒一族(大鹏店),餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.475711,22.593602
532,翠香西饼屋,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.478171,22.593803
533,超群茶饮,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.476781,22.596085
534,惠来隆江绿豆饼,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.480307,22.593222
535,珊糯糯甜品,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.475388,22.591291
536,大口九(迎宾路),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.476739,22.593233
537,糖小满,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.475691,22.588043
538,微笑CLUB,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.475929,22.5931
539,IH CAFE牧场,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.5229,22.592089
540,夜吧咖啡屋,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.525947,22.593172
541,MiNi茶阁店铺,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.543096,22.555512
542,时间铺子(古城店),餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,龙岗区,114.512698,22.594554
543,纳德思西饼(大鹏鹏城店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.5117,22.592315
544,烤烤你烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.513846,22.593812
545,炳师傅烘焙工坊,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.511904,22.593385
546,大鹏新区茶里,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.514447,22.595883
547,西涌故事,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,龙岗区,114.538253,22.484647
548,茶凉可续(西涌店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.537446,22.484433
549,奶牛和村长的花园咖啡,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.538353,22.485281
550,金色梦幻韩式榻榻米双人,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,龙岗区,114.545477,22.491572
551,泰格嘟茶院,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.571235,22.544527
552,桔钓沙莱华度假酒店·萨瓦娜大堂吧,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.553688,22.55629
553,花千小馆(杨梅坑店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.573107,22.544069
554,圣洛雪奶茶·冷饮小吃,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.570853,22.544574
555,艾米烤吧,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.571988,22.544428
