,华姐理发店,生活服务,美容美发店,美容美发店.1,广东省,深圳市,宝安区,113.781431,22.726007
526,燕燕发室,生活服务,美容美发店,美容美发店,广东省,深圳市,坪山区,114.41865,22.694505
527,云山栖造型专业,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.407482,22.638082
528,漂亮宝贝,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.429117,22.638453
529,百莲凯高科技美容养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.407487,22.637989
530,彩玲美发,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.412763,22.635699
531,椰岛造型,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.40921,22.635957
532,xie岛造型,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.409341,22.635891
533,克丽缇娜(陶柏莉门店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.406913,22.634978
534,Aloha造型工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.407031,22.63497
535,馨玛莎美容院,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.405375,22.637165
536,风尚造型,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.410929,22.613251
537,冬洋理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.407039,22.614373
538,利友理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.40503,22.613431
539,精简烫染坊,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.406807,22.614329
540,深圳市大鹏新区爱尚造型美发馆,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.410924,22.613262
541,梦丽美容养生馆(葵涌店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.434967,22.632201
542,伟华养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.435104,22.630415
543,芸均美容工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.434771,22.62965
544,阿浪形象工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.435077,22.628789
545,的钻国际美容会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.48177,22.595729
546,雅致美容护肤,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.481472,22.597421
547,美信美容养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.48431,22.593846
548,康美美容养生中心,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.480955,22.597244
549,大鹏千滋美容养生中心,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.481652,22.595294
550,发资源发型屋,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.494189,22.565851
551,1985美发工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.48656,22.573323
552,逸多巴笔,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.48778,22.572944
553,威龙金剪刀,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.487877,22.572798
554,客家理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.487572,22.573316
555,思语美发,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.488755,22.574796
556,阿英清丝发廊,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.492208,22.53116
557,徐记理发室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.492417,22.532166
558,春瑞发廊,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.493153,22.533268
559,发之彩美发,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.492883,22.533846
560,潮新发屋,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.493753,22.534471
561,海燕专业美发(人民路),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.494542,22.534613
562,顶尖美容美发,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.495565,22.534378
563,亮丽理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.487734,22.538359
564,香港修圣缘美容养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.478078,22.593697
565,克丽缇娜(怡馨店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.474286,22.592128
566,长布理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.476794,22.592299
567,爱丽雅美甲美睫,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475922,22.59275
568,艾诗造型(大鹏店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.476434,22.592464
569,爱手爱脚,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475725,22.59175
570,Queena studio婷婷工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475462,22.591894
571,采诗发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475279,22.590772
572,西子苑美容美体中心,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.476314,22.589792
573,绚诺soho造型(大鹏岁宝百货店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.476593,22.594379
574,雅钰美容氧疗馆,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.47771,22.591278
575,佑米造型(佳兆业华润万家店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475389,22.593784
576,619国际,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475676,22.593655
577,文青理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.509713,22.594372
578,芊姿美容养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475953,22.590658
579,茜子智能美肤中心,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.474803,22.594509
580,GJLJ美甲沙龙,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475126,22.593793
581,维雅丽美容院,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.474262,22.592733
582,丰姿养生美容会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.473552,22.597247
583,咩咩美甲工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475478,22.591949
584,尚美国际,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.47448,22.593464
585,素颜美,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.473747,22.593761
586,鑫玛莎专业美容院(大鹏分店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.477262,22.589014
587,百莲凯美容美体SPA养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.475545,22.592902
588,安雪丽美容养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.476005,22.592618
589,新龙都美发沙龙,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.477699,22.588546
590,西子缘美容养生会所(大鹏总店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.476417,22.589858
591,红辉发室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.47416,22.592263
592,海涛精剪,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.527102,22.593091
593,皓美国际,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.532694,22.593222
594,姐妹理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.527062,22.593784
595,姐姐发屋,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.526913,22.593775
596,海涛美发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.527289,22.593099
597,南区理发室,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.532772,22.590402
598,金剪刀烫染设计,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.511985,22.592839
599,发现美,生活服务,美容美发店,美容美发店,广东省,深圳市,龙岗区,114.511492,22.593836
